SSA,C%,H/C,O/C,E,S,A,B,V,log(Kd)
0.068027211,0.608695652,0.071428571,0.571428571,0.97,1.08,0.0,0.55,2.1734,2.66
0.068027211,0.608695652,0.071428571,0.6714,0.97,1.08,0.0,0.55,2.1734,2.57
0.022140221,0.637168142,0.152777778,0.222222222,1.09,1.15,0.0,0.63,9.476,2.3
0.022140221,0.637168142,0.152777778,0.32,1.09,1.15,0.0,0.63,9.476,2.23
0.022140221,0.637168142,0.152777778,0.222222222,1.09,1.15,0.0,0.63,9.476,1.73
0.022140221,0.637168142,0.152777778,0.3222,1.09,1.15,0.0,0.63,9.476,1.01
0.068027211,0.608695652,0.071428571,0.571428571,1.09,1.15,0.0,0.63,9.476,2.58
0.068027211,0.608695652,0.071428571,0.6714,1.09,1.15,0.0,0.63,9.476,2.37
0.068027211,0.608695652,0.071428571,0.571428571,1.09,1.15,0.0,0.63,9.476,2.38
0.068027211,0.608695652,0.071428571,0.6714,1.09,1.15,0.0,0.63,9.476,2.27
0.022140221,0.637168142,0.152777778,0.222222222,1.05,1.06,0.0,0.68,2.3143,1.9
